pixel,fps,pv,ra,stream,device,GPU
420,14,1.0,0.64,1,Nano,0
360,18,0.94,0.83,9,Laptop,0
360,22,0.95,0.82,1,Xavier,0
420,14,1.0,0.71,1,Nano,0
360,18,1.0,0.94,9,Laptop,0
420,14,1.0,0.71,1,Nano,0
360,22,1.0,0.93,1,Xavier,0
360,18,1.0,0.83,9,Laptop,0
420,14,1.0,0.79,1,Nano,0
360,22,1.0,0.77,1,Xavier,0
360,18,1.0,0.83,9,Laptop,0
420,14,1.0,0.79,1,Nano,0
360,22,1.0,0.86,1,Xavier,0
420,14,1.0,0.71,1,Nano,0
360,18,0.94,0.94,9,Laptop,0
360,22,1.0,0.86,1,Xavier,0
420,14,0.79,0.64,1,Nano,0
360,18,1.0,0.83,9,Laptop,0
360,22,0.95,0.77,1,Xavier,0
420,14,0.93,0.64,1,Nano,0
360,18,1.0,0.83,9,Laptop,0
360,22,1.0,0.73,1,Xavier,0
420,14,1.0,0.71,1,Nano,0
360,18,1.0,0.89,9,Laptop,0
420,14,1.0,0.71,1,Nano,0
360,22,0.95,0.86,1,Xavier,0
360,18,1.0,0.94,9,Laptop,0
420,14,1.0,0.71,1,Nano,0
360,22,1.0,0.77,1,Xavier,0
360,18,1.0,0.83,9,Laptop,0
420,14,0.93,0.71,1,Nano,0
420,14,1.0,0.71,1,Nano,0
360,18,1.0,0.89,9,Laptop,0
420,14,1.0,0.71,1,Nano,0
360,18,1.0,0.89,9,Laptop,0
420,14,1.0,0.71,1,Nano,0
360,18,1.0,0.89,9,Laptop,0
420,14,1.0,0.64,1,Nano,0
420,14,1.0,0.64,1,Nano,0
360,18,1.0,0.89,9,Laptop,0
420,14,0.93,0.71,1,Nano,0
360,18,1.0,0.83,9,Laptop,0
420,14,0.79,0.5,1,Nano,0
420,14,1.0,0.89,1,Nano,0
360,18,1.0,0.72,9,Laptop,0
420,14,1.0,0.89,1,Nano,0
360,18,1.0,0.72,9,Laptop,0
420,14,0.93,0.89,1,Nano,0
360,18,0.94,0.83,9,Laptop,0
420,14,0.67,0.89,1,Nano,0
360,18,1.0,0.89,9,Laptop,0
420,14,1.0,0.89,1,Nano,0
360,18,1.0,0.83,9,Laptop,0
420,14,1.0,0.89,1,Nano,0
420,14,1.0,0.89,1,Nano,0
360,18,0.94,0.83,9,Laptop,0
420,14,1.0,0.89,1,Nano,0
180,22,1.0,0.95,1,Xavier,1
360,18,1.0,0.89,4,Laptop,0
420,14,0.93,0.64,1,Nano,0
180,22,0.91,0.91,5,Xavier,1
420,14,1.0,0.71,1,Nano,0
360,18,0.94,0.89,4,Laptop,0
420,14,0.67,0.79,1,Nano,0
360,18,1.0,0.67,9,Laptop,0
420,14,1.0,0.71,1,Nano,0
360,18,1.0,0.83,9,Laptop,0
420,14,0.79,0.79,1,Nano,0
420,14,0.79,0.64,1,Nano,0
360,18,1.0,0.83,9,Laptop,0
420,14,1.0,0.71,1,Nano,0
360,18,1.0,0.83,9,Laptop,0
300,14,1.0,0.93,5,Xavier,1
420,14,1.0,0.64,1,Nano,0
300,14,0.93,0.86,5,Xavier,1
360,18,1.0,0.89,9,Laptop,0
420,14,0.93,0.64,1,Nano,0
300,14,1.0,0.86,5,Xavier,1
420,14,1.0,0.71,1,Nano,0
360,18,1.0,0.67,9,Laptop,0
300,14,1.0,0.79,5,Xavier,1
420,14,1.0,0.79,1,Nano,0
360,18,1.0,0.89,4,Laptop,0
420,14,1.0,0.71,1,Nano,0
300,14,0.73,0.86,5,Xavier,1
360,18,1.0,0.89,9,Laptop,0
420,14,1.0,0.79,1,Nano,0
300,14,1.0,0.86,5,Xavier,1
420,14,1.0,0.71,1,Nano,0
360,18,1.0,0.83,9,Laptop,0
300,14,1.0,0.86,5,Xavier,1
420,14,1.0,0.64,1,Nano,0
360,18,1.0,0.89,4,Laptop,0
300,14,1.0,0.86,5,Xavier,1
420,14,0.79,0.71,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
360,18,1.0,0.94,9,Laptop,0
420,14,0.67,0.64,1,Nano,0
300,14,1.0,0.86,5,Xavier,1
420,14,1.0,0.71,1,Nano,0
360,18,1.0,0.72,9,Laptop,0
300,14,1.0,0.64,5,Xavier,1
420,14,0.79,0.71,1,Nano,0
360,18,1.0,0.72,9,Laptop,0
300,14,1.0,0.93,5,Xavier,1
420,14,1.0,0.64,1,Nano,0
360,18,1.0,0.83,9,Laptop,0
300,14,1.0,0.93,5,Xavier,1
420,14,0.93,0.64,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
360,18,1.0,0.89,4,Laptop,0
420,14,0.79,0.57,1,Nano,0
300,14,1.0,0.71,5,Xavier,1
420,14,1.0,0.64,1,Nano,0
360,18,1.0,0.89,4,Laptop,0
420,14,1.0,0.64,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
360,18,1.0,0.89,4,Laptop,0
420,14,0.67,0.64,1,Nano,0
300,14,0.73,0.86,5,Xavier,1
360,18,1.0,0.89,9,Laptop,0
420,14,1.0,0.71,1,Nano,0
300,14,0.93,0.93,5,Xavier,1
360,18,1.0,0.72,9,Laptop,0
420,14,1.0,0.71,1,Nano,0
300,14,1.0,0.71,5,Xavier,1
360,18,0.94,0.89,9,Laptop,0
420,14,1.0,0.71,1,Nano,0
360,18,1.0,0.83,9,Laptop,0
300,14,1.0,0.93,5,Xavier,1
420,14,1.0,0.71,1,Nano,0
360,18,1.0,0.94,9,Laptop,0
420,14,0.67,0.71,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
360,18,1.0,0.94,9,Laptop,0
420,14,1.0,0.71,1,Nano,0
300,14,1.0,0.64,5,Xavier,1
360,18,1.0,0.94,9,Laptop,0
420,14,0.79,0.64,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
360,18,1.0,0.83,9,Laptop,0
420,14,0.93,0.64,1,Nano,0
360,18,1.0,0.94,9,Laptop,0
300,14,0.93,0.86,5,Xavier,1
360,18,1.0,1.0,9,Laptop,0
420,14,0.67,0.71,1,Nano,0
360,18,0.94,0.94,9,Laptop,0
420,14,0.79,0.79,1,Nano,0
360,18,1.0,0.94,9,Laptop,0
360,18,1.0,0.83,9,Laptop,0
420,14,1.0,0.57,1,Nano,0
360,18,1.0,1.0,9,Laptop,0
300,14,1.0,0.93,5,Xavier,1
420,14,1.0,0.71,1,Nano,0
360,18,1.0,1.0,9,Laptop,0
420,14,1.0,0.71,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
360,18,1.0,0.89,9,Laptop,0
420,14,1.0,0.79,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
420,14,1.0,0.71,1,Nano,0
360,18,1.0,0.67,9,Laptop,0
300,14,1.0,0.93,5,Xavier,1
420,14,1.0,0.71,1,Nano,0
300,14,1.0,0.86,5,Xavier,1
360,18,1.0,0.67,9,Laptop,0
420,14,0.79,0.79,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
420,14,1.0,0.64,1,Nano,0
360,18,1.0,0.89,4,Laptop,0
300,14,1.0,0.93,5,Xavier,1
420,14,0.93,0.64,1,Nano,0
360,18,1.0,0.89,9,Laptop,0
300,14,1.0,0.93,5,Xavier,1
420,14,1.0,0.64,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
360,18,1.0,0.67,9,Laptop,0
420,14,1.0,0.71,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
420,14,1.0,0.64,1,Nano,0
360,18,1.0,0.89,4,Laptop,0
300,14,1.0,0.86,5,Xavier,1
420,14,0.79,0.57,1,Nano,0
360,18,1.0,0.83,9,Laptop,0
420,14,1.0,0.64,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
360,18,0.94,0.89,4,Laptop,0
420,14,0.93,0.57,1,Nano,0
300,14,1.0,0.71,5,Xavier,1
420,14,1.0,0.64,1,Nano,0
360,18,1.0,0.83,9,Laptop,0
300,14,0.93,0.93,5,Xavier,1
420,14,0.67,0.71,1,Nano,0
360,18,1.0,0.89,9,Laptop,0
300,14,1.0,0.93,5,Xavier,1
420,14,1.0,0.57,1,Nano,0
360,18,1.0,0.89,9,Laptop,0
420,14,0.79,0.64,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
360,18,1.0,0.89,9,Laptop,0
420,14,1.0,0.64,1,Nano,0
300,14,0.93,0.93,5,Xavier,1
360,18,1.0,0.83,9,Laptop,0
420,14,1.0,0.79,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
420,14,0.79,0.71,1,Nano,0
360,18,1.0,0.89,4,Laptop,0
300,14,0.93,0.86,5,Xavier,1
420,14,1.0,0.71,1,Nano,0
360,18,1.0,0.61,9,Laptop,0
300,14,1.0,0.93,5,Xavier,1
420,14,1.0,0.79,1,Nano,0
360,18,1.0,0.72,9,Laptop,0
420,14,1.0,0.64,1,Nano,0
300,14,1.0,0.71,5,Xavier,1
420,14,1.0,0.79,1,Nano,0
360,18,1.0,0.89,4,Laptop,0
300,14,1.0,0.93,5,Xavier,1
420,14,1.0,0.79,1,Nano,0
360,18,1.0,0.89,9,Laptop,0
300,14,1.0,0.93,5,Xavier,1
420,14,0.79,0.64,1,Nano,0
300,14,1.0,1.0,5,Xavier,1
360,18,1.0,0.89,4,Laptop,0
420,14,1.0,0.57,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
420,14,0.67,0.71,1,Nano,0
360,18,1.0,0.72,9,Laptop,0
420,14,1.0,0.64,1,Nano,0
360,18,1.0,0.83,9,Laptop,0
300,14,1.0,0.86,5,Xavier,1
420,14,1.0,0.71,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
420,14,1.0,0.79,1,Nano,0
360,18,0.94,0.72,9,Laptop,0
420,14,1.0,0.71,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
360,18,1.0,0.56,9,Laptop,0
420,14,0.79,0.71,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
420,14,1.0,0.71,1,Nano,0
360,18,1.0,0.72,9,Laptop,0
300,14,1.0,0.93,5,Xavier,1
420,14,1.0,0.64,1,Nano,0
300,14,1.0,0.86,5,Xavier,1
360,18,1.0,0.72,9,Laptop,0
420,14,1.0,0.64,1,Nano,0
300,14,1.0,0.93,5,Xavier,1
360,18,1.0,0.67,9,Laptop,0
420,14,0.67,0.71,1,Nano,0
300,14,1.0,0.86,5,Xavier,1
420,14,1.0,0.64,1,Nano,0
360,18,1.0,0.61,9,Laptop,0
300,14,1.0,0.93,5,Xavier,1
360,18,1.0,0.78,9,Orin,1
360,18,1.0,0.72,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.78,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,0.78,9,Orin,1
360,18,1.0,0.78,9,Orin,1
360,18,1.0,1.0,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,1.0,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,1.0,9,Orin,1
360,18,1.0,1.0,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,1.0,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,0.94,0.72,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.78,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,0.94,0.78,9,Orin,1
360,18,0.94,0.83,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,0.94,0.94,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.72,9,Orin,1
360,18,1.0,0.72,9,Orin,1
360,18,0.94,0.83,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,0.94,0.83,9,Orin,1
360,18,1.0,0.78,9,Orin,1
360,18,0.94,0.78,9,Orin,1
360,18,1.0,0.67,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.67,9,Orin,1
360,18,1.0,0.78,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.78,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,0.72,9,Orin,1
360,18,1.0,0.72,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.78,9,Orin,1
360,18,1.0,0.78,9,Orin,1
360,18,1.0,0.78,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.72,9,Orin,1
360,18,0.94,0.89,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,1.0,9,Orin,1
360,18,0.94,0.94,9,Orin,1
360,18,1.0,0.94,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,1.0,9,Orin,1
360,18,1.0,1.0,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.67,9,Orin,1
360,18,1.0,0.67,9,Orin,1
360,18,1.0,0.78,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.67,9,Orin,1
360,18,1.0,0.78,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,0.94,0.78,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,1.0,0.78,9,Orin,1
360,18,1.0,0.61,9,Orin,1
360,18,1.0,0.72,9,Orin,1
360,18,1.0,0.78,9,Orin,1
360,18,1.0,0.89,9,Orin,1
360,18,1.0,0.78,9,Orin,1
360,18,1.0,0.72,9,Orin,1
360,18,1.0,0.83,9,Orin,1
360,18,0.94,0.72,9,Orin,1
360,18,1.0,0.56,9,Orin,1
360,18,1.0,0.72,9,Orin,1
360,18,1.0,0.72,9,Orin,1
360,18,1.0,0.67,9,Orin,1
360,18,1.0,0.61,9,Orin,1
